pot.no,genotype,stake,treatment,nodes.6.10,br.6.10,analyze6.17,wetmass6.17,nodes6.17,branches6.17,flrs6.17,BCA.lf.wt.mass.6.17,HL.lf.wt.mass.6.17,Bates.lf.wt.mass.6.17,AGwt.mass.6.17,BCA.absorbance.6.18,AGdry.mass.6.21,spc,analyze7.1,nodes7.1,branches7.1,flrs7.1,drplvs7.1,BCA.beta.lf.wt.mass.7.1,Bates.lf.wt.mass.7.1,beta.stem.wt.mass.7.1,AGwt.mass.7.1,env.6.17,AGdry.mass.7.8,env.7.8
52,T-16,red,200 mM NaCl,3,0,1,0,5,0,0,162,150.8,143.7,3.5161,0.226,1.5077,T.16.52,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3704,NA,NA
53,T-16,red,200 mM NaCl,3,0,1,0,5,0,0,147.5,156,159.7,3.4779,0.343,1.526,T.16.53,0,NA,NA,NA,NA,NA,NA,NA,NA,1.4126,NA,NA
54,T-16,red,200 mM NaCl,3,0,1,0,5,2,0,160.7,159,151.8,4.1074,0.253,1.5255,T.16.54,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3664,NA,NA
57,T-16,red,200 mM NaCl,3,0,0,1,NA,NA,NA,NA,NA,NA,4.6108,NA,1.5791,T.16.57,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3703,NA,NA
58,T-16,red,200 mM NaCl,3,0,1,0,5,0,0,162.5,151.4,154.9,3.9282,0.252,1.5491,T.16.58,0,NA,NA,NA,NA,NA,NA,NA,NA,1.4037,NA,NA
95,T-16,white,0 mM NaCl,2,0,1,0,5,0,0,162.1,143.9,162.9,4.0515,0.224,1.4914,T.16.95,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3926,NA,NA
99,T-16,white,0 mM NaCl,3,0,1,0,6,5,0,152.5,152.9,145,5.9554,0.296,1.6462,T.16.99,0,NA,NA,NA,NA,NA,NA,NA,NA,1.368,NA,NA
13,WI-9,red,200 mM NaCl,3,2,1,0,7,5,1,163.4,137.1,147.6,2.5377,0.365,1.4493,WI.9.13,0,NA,NA,NA,NA,NA,NA,NA,NA,1.4003,NA,NA
14,WI-9,red,200 mM NaCl,2,0,0,1,NA,NA,NA,NA,NA,NA,2.2482,NA,1.3884,WI.9.14,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3484,NA,NA
16,WI-9,red,200 mM NaCl,3,0,1,0,6,7,1,140.6,155.1,158.8,2.5323,0.208,1.4385,WI.9.16,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3833,NA,NA
21,WI-9,red,200 mM NaCl,3,2,1,0,5,8,1,161.5,142.6,145.1,2.4988,0.367,1.42,WI.9.21,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3907,NA,NA
25,WI-9,red,200 mM NaCl,3,0,1,0,6,3,1,145.6,167.8,139.7,2.0711,0.826,1.4017,WI.9.25,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3993,NA,NA
26,WI-9,red,200 mM NaCl,3,0,1,0,5,5,3,161.3,152.3,150.9,2.1911,0.436,1.4472,WI.9.26,0,NA,NA,NA,NA,NA,NA,NA,NA,1.4006,NA,NA
27,WI-9,red,200 mM NaCl,3,0,0,1,NA,NA,NA,NA,NA,NA,2.7098,NA,1.475,WI.9.27,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3876,NA,NA
29,WI-9,red,200 mM NaCl,3,1,1,0,5,4,1,157.6,157.3,148.4,2.0607,0.537,1.4614,WI.9.29,0,NA,NA,NA,NA,NA,NA,NA,NA,1.4179,NA,NA
30,WI-9,red,200 mM NaCl,2,0,1,0,5,3,1,144.8,147.3,144.8,1.9779,0.779,1.3932,WI.9.30,0,NA,NA,NA,NA,NA,NA,NA,NA,1.4008,NA,NA
6,WI-9,red,200 mM NaCl,2,0,1,0,6,4,1,148.1,145.7,166.2,1.8069,0.349,1.3719,WI.9.6,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3895,NA,NA
63,WI-9,white,0 mM NaCl,2,0,1,0,6,5,1,155,155.2,154.4,3.0563,0.259,1.4501,WI.9.63,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3881,NA,NA
65,WI-9,white,0 mM NaCl,2,0,0,1,NA,NA,NA,NA,NA,NA,2.5968,NA,1.4272,WI.9.65,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3984,NA,NA
66,WI-9,white,0 mM NaCl,3,0,0,1,NA,NA,NA,NA,NA,NA,4.0264,NA,1.4628,WI.9.66,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3553,NA,NA
68,WI-9,white,0 mM NaCl,3,0,1,0,5,4,1,162.6,157.1,163.8,3.3393,0.281,1.4433,WI.9.68,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3827,NA,NA
70,WI-9,white,0 mM NaCl,2,0,1,0,6,4,1,150.4,161.5,148.8,3.0903,0.299,1.438,WI.9.70,0,NA,NA,NA,NA,NA,NA,NA,NA,1.4005,NA,NA
71,WI-9,white,0 mM NaCl,2,0,1,0,6,4,0,145.3,145.8,176.3,2.179,0.3,1.4346,WI.9.71,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3922,NA,NA
73,WI-9,white,0 mM NaCl,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.73,0,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
77,WI-9,white,0 mM NaCl,3,0,1,0,5,5,1,150.3,149.3,166.1,2.7535,0.267,1.4627,WI.9.77,0,NA,NA,NA,NA,NA,NA,NA,NA,1.4125,NA,NA
80,WI-9,white,0 mM NaCl,3,2,1,0,5,8,5,152.1,141.4,139.5,4.9489,0.209,1.5871,WI.9.80,0,NA,NA,NA,NA,NA,NA,NA,NA,1.4024,NA,NA
89,WI-9,white,0 mM NaCl,3,0,1,0,6,6,1,158.1,161,157.4,3.1298,0.269,1.3844,WI.9.89,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3841,NA,NA
90,WI-9,white,0 mM NaCl,3,0,1,0,5,3,1,147.9,145.4,140.9,1.9577,0.217,1.3888,WI.9.90,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3736,NA,NA
